libwslay 1.1.1-6
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.11.0-1
libxkbcommon-x11 1.11.0-1
libxkbfile 1.1.3-1
libxml2 2.14.5-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux 6.16.arch2-1
linux-api-headers 6.16-1
linux-firmware 20250808-1
linux-firmware-amdgpu 20250808-1
linux-firmware-atheros 20250808-1
linux-firmware-broadcom 20250808-1
linux-firmware-cirrus 20250808-1
linux-firmware-intel 20250808-1
linux-firmware-mediatek 20250808-1
linux-firmware-nvidia 20250808-1
linux-firmware-other 20250808-1
linux-firmware-radeon 20250808-1
linux-firmware-realtek 20250808-1
linux-firmware-whence 20250808-1
linux-headers 6.16.arch2-1
linux-lts 6.12.41-2
linux-lts-headers 6.12.41-2
lld19 19.1.7-2
llvm-libs 20.1.8-1
llvm19-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.9.0-3
loupe 48.1-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-3
luajit 2.1.1753364724-1
lutris 0.5.19-6
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.8-1
m17n-lib 1.8.5-1
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.13.0-1
man-db 2.13.1-1
maplemono-ttf 7.4-1
marked 5.0.0-2
mbedtls 3.6.4-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:25.1.7-1
mesa-utils 9.0.0-7
meson 1.8.3-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
mjpegtools 2.2.1-3
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mlt 7.32.0-2
mobile-broadband-provider-info 20250613-1
mod_dnssd 0.6-9
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.1-1
msgpack-c 6.1.0-2
msgraph 0.3.3-1
mtdev 1.1.7-1
mutter 48.4-1
nano 8.5-1
nautilus 48.3-1
ncurses 6.5-4
neon 0.35.0-1
neovim 0.11.3-1
net-snmp 5.9.4-7
netstandard-targeting-pack 9.0.8.sdk109-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nginx 1.28.0-4
ninja 1.12.1-2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nmap 7.97-1
node-gyp 11.3.0-1
nodejs 24.6.0-1
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.048-1
npm 11.5.2-1
npth 1.8-1
nspr 4.37-1
nss 3.114-1
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nvidia-dkms 580.76.05-3
nvidia-utils 580.76.05-3
obs-studio 31.1.2-1
ocl-icd 2.3.3-1
onetbb 2022.2.0-1
openal 1.24.3-1
opencolorio 2.4.2-1
opencore-amr 0.1.6-2
openexr 3.3.5-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openrazer-daemon 3.10.3-1
openrazer-driver-dkms 3.10.3-1
openssh 10.0p1-4
openssl 3.5.2-1
openxr 1.1.50-1
opus 1.5.2-1
orc 0.4.41-1
orca 48.6-1
osinfo-db 20250606-1
ostree 2025.4-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
